Unnamed: 0,Negative_Sentence,Sentiment
232,i hope the same way you give support and respect to para cricketers and girls cricketers,"Positive
"
233,proud of an indian we have these typ people really proud,"Positive
"
234,isme ek bhi muslim cricketer dikhae nahi diya lar raha hai cricket me bhi sanghi ghus gaye hai,"Negative
"
235,man just ignored the script writer,"Negative
"
236,so beautiful and proud moments,"Positive
"
237,druve rathi se ek baar video conference kar lo sir please,"Neutral.
"
238,quality thanku modi ji,"Positive
"
239,s of to you indian team playersindian cricket council,"Neutral
"
240,rohit is controlling his wo,"Neutral
"
241,congrats team india,"Positive
"
242,yuzvendra chahal be like modi sir mere hi piche pad gae han,"Neutral
"
243,quotkuldeep tumhari himmat kese hui ki tum captain ko nacha rahe hoquot modi ji nailed it,"Negative
"
244,i love you all indian champion team and our honorable prime minister mr narendra modi ji,"Positive
"
245,feeling sad for muslim player siraj,"Negative
"
246,my hero is obsessed with woh,"Neutral
"
247,i just want to sayi love my indiahamara desh mahan haiiss desh se achha koi desh hoga sayad a kehna na mushkil haiiss miti ki har koi mahan hai jo humare desh ko represent kiya cricket ki madhyam se rohit sharma and the entire teama diamond team love to each and every one nd respect alsour humare respected pm siraap ke jese insaan milna mushkil hai iss jamane meina true leaderi m proud of being an indian jay hind,"Positive
"
248,modi ji love you my indian team,"Positive
"
249,koi mar gaya kya,"Negative
"
250,pm narendra bhai modi ji is real man with golden heart this kind of person will never be forgotten he will be truly called our nations pride personality love you sir,"Positive
"
251,actually afganistan is the reason it makes it clear for india and sa to final first they beat nz comprehensively and next they beat aussie otherwise the things would have been different which is my thinking,"Positive
"
252,ye world cup mein final match sahi mein final ki trah huijo live dekhane ka maja hai vi highlight mein nahi,"Positive
"
253,love u team india,"Positive
"
254,just when i think our beloved pm ji has given absolutely everything for our great nation he comes up with terrific gestures like this sir just how is it possible for you to be what you are i mean youve seen and conquered almost everything there is but still you are so motivated to give more wishing you a long a healthy life not just for you but for the sake of this nation too keep inspiring all of us like this sir,"Positive
"
255,this is the highest quality of a pm such attitude will go down the history of pmships for new ones to emulate and match standards very tough quality standards,"Positive
"
256,what a pm he was with the team when we lost took stock of player when he was injured and gave the platform when they won the cup the best pm india has ever had nothing can stop india,"Positive
"
257,modi ji team india,"Positive
"
258,virat kohli ki,"Neutral
"
259,this is prime minister means,"Neutral
"
260,jadega se kyu nhi baat k,"Negative
"
261,all the best team india thank you pm modi ji,"Positive
"
262,we want india pakistan unite not distributive as a pakistani i will says india is doing great in many departments so thats great,"Positive
"
263,repact modi ji,"Neutral
"
264,sir first strong social media of bjp,"Neutral.
"
265,chahal thinking dhanashree kiske saath reel bana rhi hogi,"Negative
"
266,welldone team india as pakistani i feels very good for india you deserve this title love you from pakistan,"Positive
"
267,modi ji aur aur apne team ko bahut jyada dhanyawad,"Positive
"
268,bhai its such a wholesome video,"Positive
"
269,wooow,"Positive
"
270,great to see the humbleness of arshdeep he didnt get credit himself he admitted that because of the pressure build by jassi batsmen try to take a chance on him and get out,"Positive
"
271,huge respect for modi ji amp the indian team,"Positive
"
272,jai shri ram ram ram jai hanuman ji ki jai modi,"Positive
"
273,mja aa gya bhai sabko sunke,"Positive
"
274,pm modi best pm of bharat,"Positive
"
275,plzz sir football ko bacha lijiye football develop hota hai toh desh ke economy triple guna hota hai,"Positive
"
276,jai bharat mata ki jai,"Positive
"
277,our great leader he interacts with all of the player just awsome,"Positive
"
278,parnam hai aapko sir ji,"Positive
"
279,modichahal kyun uttna gussa mein kyun hai,"Negative
"
280,where is siraj samson during photo shoot,"Neutral
"
281,modi ji is man of the word we cant handel our family n they leading smartly play to our country true leader jaha jisey jaisa lagey wo waisa ho jayee true vish pee k bhi india ko amrit kar diya,"Positive
"
282,im proud to be an indian,"Positive
"
283,what a pm man i have no words to appreciate him jai hind,"Positive
"
284,we win because of modi,"Positive
"
285,waah two much needed videos for country with our players,"Positive
"
286,jhi,"Neutral
"
287,maza aa gya all done,"Positive
"
288,full support to modiji,"Positive
"
289,request to pm please app dusre sports me bhi dhyan dijiye paisa invest kijiye like football or jo bhi baki sports olympic me atte hai kyuki cricket se hame koyi izzat nahi milegi world wide bhale hi hm ghar par vande mataram karte rehe ye sach hai koyi nahi dekhta cricket india ke alwa please,"Negative
"
290,bahut acha laga sun ke bat aur maza vi aya,"Positive
"
291,thank god siddhu was muted and replaced whenever required,"Negative
"
292,modi ji sir is really such a great inspiring big hearted and lovely man what a beautiful smile he has huge respect for our respected pm sir,"Positive
"
293,mohd siraj aur sanju samson unse to pm ne naa to baat kri na hi video k last me unse hath milaya,"Negative
"
294,most beautiful video,"Positive
"
295,meeting everyone at the end is so wholesome,"Positive
"
296,ka rahul is missing,"Negative
"
297,modi ji jaisa pm sayad aane wale time per milna bahut mushkil hoga,"Positive
"
298,kisko kisiko lagta h ki reacharge kam kiya jaymodi ji se nivedan h ki ham jaise garib student lagta h duniya chhod dena chahiye,"Negative
"
299,modi ji ne dil jeet liya,"Positive
"
0,really no pm has done this before such a proud moment,"Positive
"
1,new motivational speaker,"Neutral
"
2,thanx modi ji to give us more pleasure moments from the team nd also thnx to support rishabh family in his tough times love u all,"Positive
"
3,siraj or shivam dube ko q ignore kiya,"Neutral
"
4,pm re neet,"Neutral
"
5,prime minister modi a great motivator,"Positive
"
6,now we should focused more in fifa tennis and olympics pm will able to breakfast with champions with more sports,"Positive
"
7,maa bhi yahi dekhna kaa intajar kar raha tha,"Neutral.
"
8,full of energy,"Positive
"
9,kitni bar rulao he yarr me to ready hu rone ke liye,"Negative
"
10,lord chahal,"Neutral
"
11,bahot achha laga dekh ke,"Positive
"
12,modi ji hatras me jo log jaan de chuke hein unke family walo se bhi ek bar mil lijiye,"Negative
"
13,duniya ke sabse best leader modi ji,"Positive
"
14,bohot super video modi ji aise hi motivate karte rahiye khiladio ko,"Positive
"
15,great modi ji great indian team,"Positive
"
16,our team our pm really great,"Positive
"
17,accha tha,"Positive
"
18,jay hind jay bharath,"Positive
"
19,the leader,"Neutral
"
20,jay shree ram from bangladesh,"Positive
"
21,modi ji respects every cricketer their present quotjiquot hats off,"Positive
"
22,dil khush kar diya modi ji apne,"Positive
"
23,love u modi ji roko love u,"Positive
"
24,bhai sahab ak ghar ki bap or bhai jo hoga dega jayega aaisa bolti to kitna admabiswas se bhar jata hei app socho ak india jaise itni bari country ka prime ministeraappke piche khara hei to app socho,"Positive
"
25,starsports ab laga copyright,"Negative
"
26,proude moment of every player and every indian,"Positive
"
27,what a man mr prime minister our country is extremely lucky to have such a man as our pm he took time to talk to each and every person and made sure he knew about all of them legend in every sense,"Positive
"
28,what a beautiful moment,"Positive
"
29,team india and modiji give lot of inspiration to whole nation thanks jai hind,"Positive
"
30,ek interview bajrang punia aur sakshi malik ke saath bhi krlo,"Neutral
"
31,amp pm modi ji,"Neutral
"
32,olympics ko bhi support karo sab log,"Positive
"
33,beautiful straight from the heart questions proud that you are the pm of india many nations can only aspire to have a pm like you you made everyone feel special and they will remember this meeting forever only person i have seen something similar is president obama when he interacts with the winning nba team or nfl team it is very light hearted very jovial,"Positive
"
34,modiji born teacher,"Positive
"
35,modi ji neet pe bhi kuch bol digiye,"Neutral
"
36,pranam hai modi ji aapka,"Positive
"
37,ye log aisse baat kar rahe hai jaise principal se school ke baache baat karte hai,"Negative
"
38,lov you,"Positive
"
39,good to see that all the players are thanking god,"Positive
"
40,thats a memorable moment,"Positive
"
41,proud to have the worlds best pm,"Positive
"
42,just a big smile on our face throughout video,"Positive
"
43,the dream of many loved this video after searching lot on utube finally i got a video with audio,"Positive
"
44,world champions with world leader,"Positive
"
45,modi is i love you,"Positive
"
46,great prime minister of india,"Positive
"
47,thank god india jeet gyi warna andhe chaatukar gaaliya dete jay shah ko stadium mein jane ki wajah se,"Negative
"
48,hi modi ji aap youtube se kitna kamate ho jara batana,"Neutral
"
49,fifa football world cup and olympic games matters not cricket in real sense,"Negative
"
50,shivam dubey ignoredyuzi inka koi contribution nhi inse to bat ki hai sir ne,"Negative
"
51,i think its a good thingi dont support bjp or modi ji but i think its his greatness,"Positive
"
52,this sooo sweet,"Positive
"
53,why is ritika wife of rohit sharma not here effect of her quotall eyes on rafahquot,"Negative
"
54,troll,"Negative
"
55,champions with champion,"Positive
"
56,nice vdo inspiring,"Positive
"
57,dubey se kyu baat nae hue,"Neutral
"
58,modi ji to kuldeep captain ko nachaya,"Negative
"
59,what a video what a leader what a team,"Positive
"
60,chahal q serious he bhai,"Neutral
"
61,shivam,"Neutral
"
62,bajrang punia vinesh phogat shakshi malik what about them,"Neutral
"
63,quotvijay ke aansu batate hai ki parajay ke pal kitne kathin gaye honge quot leader for a reason,"Positive
"
64,great job indian team im proud of you,"Positive
"
65,best leader,"Positive
"
66,aaj pehli bar indian players ko hindi me bolte hue dekhkr bahut khushi hue h,"Positive
"
67,this video is very nice modi ji,"Positive
"
68,rohit aur uske quotwoquot amar rahe,"Positive
"
69,congratulations all indians and great pm of india,"Positive
"
70,rahul dravid k upar ek flim to banna chaiye keya bolte public,"Neutral
"
71,great leader of this country india,"Positive
"
72,everything is temporary rohits wo is permanent,"Neutral.
"
73,jay,"Neutral
"
74,my pride is my pm,"Positive
"
75,our great indian fellows in india people talk and concern about only two thing as cricket and politics,"Neutral
"
76,kuch logo ki jal rahi hogi ye video dekh ke,"Negative
"
77,what a lovely leader you arethis video was too emotional and joyfulthanks team india and thanks modi ji,"Positive
"
78,i amazing,"Positive
"
79,tusi great ho modi ji,"Positive
"
80,just ignore your problem just like modi ji ignored jay shah,"Negative
"
81,pm is real pm,"Neutral
"
82,wow what a moments,"Positive
"
83,jay hind jay bharat jay shree ram,"Positive
"
84,maje ki baat to ye h aaj ye sab log hindi me baat kar rahe h,"Positive
"
85,sir plz all jio brands ban kijiye and start to bsnl india,"Negative
"
86,hamare desh ko yesa pardhan mantri bhir milega,"Positive
"
87,my heart goes for chahal jaiswal sanju team means team,"Positive
"
88,would request pm ji to introduce english subtitles for the benefit of unfortunate tamilians who are unable to follow the hindi version as they have been denied to learn and follow hindi in letter and spitit,"Negative
"
89,the pm who stood behind the team when they lost,"Positive
"
90,so proud of our great pm,"Positive
"
91,modiji behaviour towards our players and support him in his bad phase and talk like a friends with our player is incredible whether you like modiji or not but he is also emotions for us thankyou modiji for this amazing talk with our players and specially taking to rishab mother in his bad phasethis is the thing that i like in modiji that ye dushro ki tarah kisi ki madat karte hai toh dikhaba nahi karte wo toh aaj rishab ne bola toh pata chala,"Positive
"
92,down to earth pm,"Positive
"
93,chkhna jadeja,"Neutral
"
94,very nice honourable prime ministerwe are proud of being with you,"Positive
"
95,congratulations love you all team,"Positive
"
96,modiji ne sabko najor rakha hai isiliye mujhe bahut khusi hua,"Negative
"
97,modiji should meet football players aswell,"Neutral
"
98,entire video is fabulousdont miss even a secondproud of you pm and team india,"Positive
"
99,kya baat hai,"Positive
"
100,thanks modiji for this conversation we got more insights about our players,"Positive
"
101,remember guys sanju was in world cup squad he also deserves to be respected,"Positive
"
102,india india i love india,"Positive
"
103,thank god pm pappu nhi nahi to raat bhar party karta,"Negative
"
104,modi ji the greatest pm in the history of politics,"Positive
"
105,accha huya ye sir dekhne nahi gye thejai hind,"Positive
"
106,superb video,"Positive
"
107,sher,"Neutral
"
108,always support and love team india,"Positive
"
109,ek din ki khusi thik h etne log garibiberozgarimehgai ke liye abaz nahi utha sakte,"Negative
"
110,aur sansadon aur vidhayakon ka vetan bhi nirdharan kiya jaaye bahut jyada vetan aur bhatte jyada n diye jaaye aur yah sansad nidhi band honi chahie ismein sara ghotala hota hai,"Negative
"
111,kaun kaun virat kohli ka fan hai,"Neutral
"
112,the pm not only talk about cricket they talk other sports also great pm,"Positive
"
113,bumrah is so genuine,"Positive
"
114,jitna lagan se aur mehnat se aap kam karte hain utna hi un sansadon ko bhi kam per lagvaiye,"Neutral.
"
115,manipur pe interview karo,"Neutral
"
116,a great and memorable moments for all indian,"Positive
"
117,person pm na down to earth,"Positive
"
118,what a cool pm,"Positive
"
119,pradhanmantri ji se vishesh nivedan ke aise hi aap apne sansadon ko har mahine apne sath baithaya karo aur unhen apne apne sansadiy kshetron mein jaane ke liye kahen aur kam ka feedback len,"Neutral.
"
120,congratulations my dear brothers jai modi ji,"Positive
"
121,last moment of this video was emotional when you hug players modi ji you just touched millions of hearts in one go,"Positive
"
122,chalo indian team ne modi k channel ko revive kr diya,"Positive
"
123,l l,"Neutral
"
124,imagine rahul gandhi in modis place will he be able to inspire a team and the nation like modi,"Neutral
"
125,modi ji neet ki bare me bhi thoda boht soch lo,"Negative
"
126,modi ji aap kitne pyare ho aaj pta chala hai,"Positive
"
127,esme kuch politics nhi h apne desh ke badne bale yubao ka dharye bda rahe h,"Positive
"
128,jab chahal ko pucha maza a gya ki chachal kyu serious hai,"Neutral
"
129,thank you so much prime minister narendra modi,"Positive
"
130,modi ji aapke pass kitna time hai,"Neutral
"
131,the last clip just its bharatnot only a name its an emotionwhen we achieve anything our tears r our strength u my country,"Positive
"
132,great pm great team great captain i love my india,"Positive
"
133,modi sir ko mera pranambharat mata ki jay,"Positive
"
134,awesome interaction,"Positive
"
135,great video thanks,"Positive
"
136,modi ji has the most unique and different energy among all the prime ministers till date,"Positive
"
137,wow a congratulations,"Positive
"
138,aisa pm india ko kabhi nhi milega,"Positive
"
139,very good conversation,"Positive
"
140,yr modi ji ne rishabh ke accident pay bhi ghar pay phone kiya tha wah modi ji love you,"Positive
"
141,libranduon ki jali na,"Negative
"
142,true leader pm modi with true champion team bharat,"Positive
"
143,anxiety on players face is so real that they are stars yet sitting with pm is a big thing,"Neutral
"
144,surya ne bangladesh aur pakistan ko apne kadmo pe la diea uske pair ki dhul chan rahe hain,"Positive
"
145,modi like chalo inke bhi jeet ka credit leleta hau,"Positive
"
146,im congress supporter but this time i fell in love with this mani cant imagine how a pm of largest democratic country minutely knows and thinks about each and every player of this team,"Positive
"
147,khele nahi to sanju chahal jaiswal amp siraj se baat tak nahi kiasal me dil to ab dukha hoga unka very shameful,"Negative
"
148,why is shivam dubey got ignored he doesnt speak also let it go but in this video even his picture with pm modi is not shown btw we are champions,"Negative
"
149,beautiful memories for india,"Positive
"
150,olymics walo se v mil lo wrestler road par hai,"Neutral.
"
151,aap desh sabse achhe pradhan mantri hai sir,"Positive
"
152,modi ji is loving it,"Positive
"
153,aur ye aur wo,"Neutral
"
154,congratulations team india amp,"Positive
"
155,what a great interaction,"Positive
"
156,aise namaste modi ji sach main aap great ho main odisha ka ladka hun apko hrudyase detahun aap jese,"Positive
"
157,wonderful human our modi ji,"Positive
"
158,chahal be like sala mere bare mein sabko pta hai,"Negative
"
159,feast for eyes,"Positive
"
160,modhi ji i love you aap k jaisa pm sab ko mile khas krke pakistan ko mile aap jaisa pm,"Positive
"
161,siraj se bat nhi kiya or door bhi bithaya tha,"Negative
"
162,feeling proud as a indian,"Positive
"
163,lesson given by team india quotwork in silence let your success make the noisequot great work lots of love,"Positive
"
164,i love my india world champion india,"Positive
"
165,hugely respect modi ji and indian team,"Positive
"
166,our great players at one stage great pm with great cricketers god bless them both,"Positive
"
167,salute to our pm for leading india from the front,"Positive
"
168,feeling proud,"Positive
"
169,best ever pm,"Positive
"
170,so happy but literally,"Positive
"
171,best pm of india modi ji,"Positive
"
172,love you hardhik,"Positive
"
173,lekin khna padega koi pm modi ko br br glt nhi kh skta aaapka ye team k saath conversation mjhe bht accha lga i like thiss conversation and finally support you as our prime minister instead of rahul gandhi mtlb mai abtk rahul ka fan tha but from till now i will be your fan completely,"Positive
"
174,bhagwan aise prime minister har desh ko de we are blessed to be indian proud of you pm sahab,"Positive
"
175,maja aagya,"Positive
"
176,love for modi ji,"Positive
"
177,love you so much our pm worl best prime minister,"Positive
"
178,sukoon hai,"Positive
"
179,dhuruv rathee crying in the germany,"Negative
"
180,only siraj and sanju missed in end handshake,"Negative
"
181,bhai wahhh,"Positive
"
182,waahsuch a nice and memorable session for our champions team india thanks you so much our honarable prime minister midiji,"Positive
"
183,ab modiji ko strike laga ke dikhao match ki clip use karne ke liye,"Negative
"
184,chahal is so funny,"Positive
"
185,rohitman,"Neutral
"
186,surya dada catch respect,"Positive
"
187,bumrah virat rohit kya combination hai,"Positive
"
188,rohit saying quothum logo na quot quotpuri team na quot again and again feels soo good true leader for a reason,"Positive
"
189,vahh kya scene hai,"Positive
"
190,modi sab kuch thik kerta hey likin sab ko privatisation kerke job vacancy kom kerdetaa heyes bar vacancies nahi ayaa tao modi ji taa taa bie biepapu ko vote denge,"Negative
"
191,great simply great pm ho to aisa ho jai ho bhrat hamesa number one ho vijai ho,"Positive
"
192,our great pm modiji and our players vande mataram bharat mathaki jai from kuwait,"Positive
"
193,a raja ji ekre t rahal ha jarurat,"Neutral.
"
194,maza aa gya bhai,"Positive
"
195,once in a generation leader,"Positive
"
196,modi all cute and all but loved it,"Positive
"
197,rohit sharma ki taraf me mafi magta hu,"Negative
"
198,full appreciation for team india,"Positive
"
199,sir bihar me stadium nhi bihar ke yuva ke liye bhi kuch kare desh ke liye,"Negative
"
200,amazing interaction modi ji feels more like the head of our house than the pm i feel personally connected to him,"Positive
"
201,what a pm salute sir,"Positive
"
202,only modi chaiye pm jai sri ram,"Positive
"
203,thankyou our most loved leader modiji,"Positive
"
204,victory will remember forever,"Positive
"
205,i love india i proud modi sir ilove cricket team,"Positive
"
206,photoshoot in end its very heartwarming and emotional just jai hind to team and prime minister,"Positive
"
207,it is the good fortune of the people of this country to have a prime minister like you and at the same time having a personality like you is like a sun in the infinity who alone is illuminating the entire universe blessed is the mother who gave birth to you,"Positive
"
208,team india won,"Positive
"
209,i think rahul gandhi is huge fan of virat i seen lots of massege on twiterx,"Neutral
"
210,you earned a new subscriber,"Positive
"
211,must,"Neutral
"
212,thanks for your appreciation for cricket team,"Positive
"
213,ssc gd result ke meeting hoga bhi nahi,"Negative
"
214,one and only real pm of,"Neutral.
"
215,rohit sharma yah vah yah baki apne aap samajh jao,"Neutral
"
216,isko bolate hain asali desh ka jansevak yah hai desh ke pradhanmantri,"Positive
"
217,wo is permanent,"Neutral
"
218,best captain rohit sharma rohit sharma bale like kro,"Positive
"
219,modijii,"Neutral
"
220,such a good vibes,"Positive
"
221,jai hind jai sri ram vande mataram,"Positive
"
222,one of the greatest video ever,"Positive
"
223,congratulations indian cricket team thanks modi ji for your kindness and gratitude jai hind,"Positive
"
224,modi ji the prodcaster,"Neutral
"
225,no words about jadeja dube that good pm,"Negative
"
226,such a beautiful moments,"Positive
"
227,we witnessed we are lucky to witness this legacy and this will inspire many generations to come yes we witnessed it live,"Positive
"
228,top moments,"Neutral
"
229,sanju dube md siraj se kyu nahi mile modi g,"Neutral
"
230,we watch programes on media everyday but this show is something the energy and motivation it generates is something incredible the hallmark of a ledership is that he would stand with the team come what may and we are blessed to have such top leadership in the country hats off to our pm salute jai hind sir,"Positive
"
231,thanks for giving them the respect that they truly deserve,"Positive
"
232,great india great pm great indian cricketers,"Positive
"
233,shibam dube missing,"Negative
"
234,astonished to see pm has or appoints video editor and director for a video theres an example of job creation u liberals,"Negative
"
235,bahut hi shandar programme,"Positive
"
236,cool,"Positive
"
237,love you modi,"Positive
"
238,humara captain kaisa ho,"Neutral
"
239,please support chandan barsha lifestyle,"Positive
"
240,moditeamgoat,"Neutral
"
241,they missed shivam dubey,"Negative
"
242,king on fire,"Neutral
"
243,its great to see our prime minister interacting with our cricket heros,"Positive
"
244,copy right marke dikha oo ab star sports walo,"Neutral.
"
245,sirf cricket ko hi pyar milta hai,"Negative
"
246,love modi ji or rohit team,"Positive
"
247,beautiful inspiringemotinoalkya bol sakthe hai jai hind jai sri ram,"Positive
"
248,our real trophy is our players,"Positive
"
249,virat kohli in last,"Neutral
"
250,please visit manipur too,"Neutral
"
251,very knowledgeable and sweet interaction rohit is very natural kohli is a great orator bumrah shows you his mental toughness great team would be loved for generations dhoni era finally comes to an end jai hind,"Positive
"
252,ek desh ke leader ko yesa hi hona chaiye,"Positive
"
253,pm ho to aisa modiji jasa,"Positive
"
254,virat ka fn like karo,"Neutral.
"
255,the true leader of india,"Neutral
"
256,great pm with great indian cricket team love you both modi ji create history and rohit and virat team also create history anne wali pidhi sadiyon tak aap sab se is video ke madhyam se prerna leti rahegi we love indian cricket and modi ji,"Positive
"
257,modi ji you are great sir,"Positive
"
258,only modi,"Neutral
"
259,modi ji rohit bhau,"Neutral
"
260,mere future k bachcho k liye comment karke jara hu india k best ever pm aur best ever cricket team hain ye,"Positive
"
261,credit to modi ji ki match dekhne nahi gaye,"Neutral
"
262,modi ji kohli both are my favourite,"Positive
"
263,my great indian team and worldcup winner team,"Positive
"
264,modi jee,"Neutral
"
265,dravids comment on players who were on bench speaks volumes about him as a person coach and leader,"Positive
"
266,rohit woh woh was personal,"Negative
"
267,thanks modi ji aap final dekhne nhi gye the,"Neutral
"
268,thankyou for uploading the full video sir,"Positive
"
269,dhruv rathe pe moot de dectator ne,"Negative
"
270,modiji ek gaurdian ki taraha saabhi se treat karte haiasa laagta hai ki wo hum saabhi k gaurdian haimaine asa pradhanmantri nhi dekha jo har logo se milte hai aaur unhe khud badhiya dete haiwe love our pm,"Positive
"
271,i love you my dear pm love you my indian cricket team from kolkata,"Positive
"
272,support football sir,"Positive
"
273,one of the great prime minister of india jai hind modi ji,"Positive
"
274,rinku singh,"Neutral
"
275,rahul dravids voice is changedi think he screamed a lot after winning,"Positive
"
276,jadejas daughter touching feet of pm modi ji that called sanskar,"Positive
"
277,i was waiting for this video to listen what our pm had said to our championsthank you everyone,"Positive
"
278,pm modi is truly a legend he gave everyone equal attention talked to each player separately,"Positive
"
279,this pm is special,"Positive
"
280,this is a great moment for all,"Positive
"
281,i love india and modi finally i cryed,"Positive
"
282,modi ji ne to sab ke highlights dikha diye,"Neutral
"
283,harvard should take lesson from modi ji on how to inspire a nation to achieve excellence he is so skillfully using the celebration of this memorable moment of popular sport cricket to reach out to all sportsmen and to the citizens of the country to strive towards greatness such leaders come once in generations people of bharat do not even know how fortunate they are long live modi ji and bharat maata ki jai,"Positive
"
284,rishabh and pm conversation was beautiful,"Positive
"
285,best leader from both sides,"Positive
"
286,surya bhahu,"Neutral
"
287,jai ho sir,"Positive
"
288,this channel is far better than starspots providing a wonderful video,"Positive
"
289,pure indian team ke liye thoko like,"Positive
"
290,fans are ready to see the odi world cup again rohit captaincy,"Positive
"
291,mai bass modi se ek baar kahana chahata hu ki voh sports ko politics se dur rakha aur ussma corrruption khatam kara sabko moka mila desh ko represent karr na ka,"Negative
"
292,very proud moment love this vedio,"Positive
"
293,great talk,"Positive
"
294,from nepal,"Neutral
"
295,ye dekh ke bada dookh hota hai ki hum itne bade leader ko petty politics mein phans kar inko support nahi karte no doubt ye moment indian cricket ka suvarnim avsar hai par namo jaisa leader bhi kahan milta hai aaye din to saare politicians ek doosre pe kichad hi uchhal rahein hotein hai aise mauke kum hi dekhne ko milton hain jahan pm sab ko personally attention detein hain unke liye samay nikaltein hain unka utsaah badhatein hain proud of indian cricket squad and the honbl pm dono ki apne field mein achievements beyond par hai,"Positive
"
296,we are proudof you my team india,"Positive
"
297,this is the pm india deserves but many people dont understand this thing may be they will understand when its very late seeing our pm standing with our players in their tough and good time makes us happy,"Positive
"
298,modi dream win world cup in his year s okk,"Positive
"
299,choti choti chezo observe karta hu and sab se sikta hu ups and down mitti namo jai hind jai bharat mata,"Positive
"
0,team india ke liye dil se like to banta hai bhai log,"Positive
"
1,tim modiji,"Neutral
"
2,this meet is very very great so mney thanks our p m great and india team is also great,"Positive
"
3,omg hell laughing,"Positive
"
4,shivam dubey ko ku nahi bulye,"Neutral.
"
5,abb kiya bolu mein,"Neutral
"
6,bharatmata ki jay,"Positive
"
7,yesssssss finally amp thankfully the account admin posted the full video with audio this is so beautiful it will break the internet bharat maata ki jai,"Positive
"
8,hum india wale,"Neutral
"
9,what a wholesome moment,"Positive
"
10,media,"Neutral
"
11,pm sir k liye dil se respect,"Positive
"
12,pm take better interview compare to regular interviewers,"Positive
"
13,surya bhai control,"Neutral
"
14,the greatest prime minister a country can ever have he aims high and looks far so grounded so supportive his support when times were hard has yielded these results and team india we love you from the corest core of our hearts,"Positive
"
15,rohith trying very hard to speak shudd hindi,"Neutral
"
16,god bless you guys and huge respect modi sir,"Positive
"
17,proud of bharat modi ji bhagvan ka roop he,"Positive
"
18,such a great interaction love you king kohli always,"Positive
"
19,shaandaar jabardast zindabad bharat,"Positive
"
20,sanju samson yaha bhi nhi kyo aeisa hua sanju se hath nhi milaya sanju ko hi kyo hate,"Negative
"
21,first olympic cricket gold will be ours for sure,"Positive
"
22,sachin dravid laxman and ganguly the dark horse of indian cricket,"Positive
"
23,thank you team india thank you modi ji,"Positive
"
24,credit khane aa gya pnauti,"Neutral.
"
25,must watch if you have missed a single moment of the match and even think that any player hasnt contributed in this tournament he has covered everything great prime minister,"Positive
"
26,we are indian are really lucky now because we have a great leader modiji and great indian team,"Positive
"
27,the king of india shree narendra modi ji,"Positive
"
28,bharat mata ki jaijai siya ram,"Positive
"
29,modi ji accha kam kar rhe lekin todha neet scame bengal me bhart ghotala paper leak all over india state currupt bharti prakriya agneeveer aur govt vacancy me highly girawat pe bhi dhyan de to bjp ka support base bde taki humara desh future me bhi secure rhe warna cong etc berbad kar denge,"Negative
"
30,champions are made they are not bornthey have to practice very very hard to be where they arewhen they get appreciation from the government and people that is icing on the cake,"Positive
"
31,bharat jinkala,"Neutral
"
32,sab log aise baite hai jaise students principal sir ke samne baite ho brahmacharya,"Negative
"
33,per rinku singh kahan hai,"Neutral
"
34,brespect for team indiab jab tak suraj chand rahega india tera naam rahega,"Positive
"
35,modi ji obsession with chahal,"Neutral
"
36,ye chiz rahul gandhi me missing hai,"Negative
"
37,why you and your party support neet paper scaam,"Negative
"
38,good to see,"Positive
"
39,maza aagaya modi ji,"Positive
"
40,hathras se bhi mile please please modi jee,"Negative
"
41,real hero modi ji,"Positive
"
42,like if you love our champions,"Positive
"
43,very inspiration episode,"Positive
"
44,rohit sharma mere liye wo tha baki modi jee aap samjhaye kya tha,"Neutral
"
45,rohit sharma real king,"Positive
"
46,modi ji ki jai ho,"Positive
"
47,modi ji hats off to you,"Positive
"
48,sanju baba,"Neutral
"
49,pm modi x ict players amp coach,"Neutral
"
50,hit man forever,"Neutral
"
51,modi ji jaisa koi nahi jai hind sir,"Positive
"
52,sir neet aspirants ko bhi bula kr baat kr lete,"Neutral
"
53,why siraj not there,"Negative
"
54,blessed to have modiji as our king,"Positive
"
55,olympic games virat kohli ke uski vajah se olympic per cricket ka naam aaya hai yah mat bhul na,"Positive
"
56,according to chamcha they all are andbhakt,"Negative
"
57,sir when something good happen you came forward to support them why not you put your step forward when misshappening happened your government is saying neet exam shouldnt be cancel as it was leak in few areas did you know the cost of it if that kind of students become doctor whats going to happen sir we are the youth of india nd we are lossing hope from our country as well as from you as you didnt know the importance of study nd hardwork you just came we have did this we are you for neet students sorry to say but you and your whole party members are corrupted,"Negative
"
58,finally modi ji ke samne achha bala rahul aaya,"Positive
"
59,how he is feeling proud seeing pant,"Positive
"
60,what a greater leader,"Positive
"
61,superb sir i wish i could do something in serving our nation too,"Positive
"
62,india dominant cricket due to no sports powerhouse countries playing cricket only tiny slave of britishers playing cricket cricket is not sports just game game of slaves cricket ruined olympic sports in india indian can only wins in cricket because of non sporty countries playing zero fitness required for play cricket too overrated game for indian subcontinent,"Negative
"
63,champion meet champions,"Positive
"
64,very very very emotional,"Neutral
"
65,ye ladko ne rahul,"Neutral
"
66,bevm hackb,"Neutral
"
67,when cricket is called a religion then politicians know how to play cricket,"Neutral
"
68,great to see this conservation,"Positive
"
69,rohit ka wo,"Neutral
"
70,hardhik ke liye like,"Positive
"
71,modi ji ki baat he alag hai,"Positive
"
